Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
P38646_HUMAN	HSPA9_HUMAN	HSPA9_HUMAN	Stress-70 protein, mitochondrial	1	1	15595.1	1956.7
P40926_HUMAN	MDHM_HUMAN	MDH2_HUMAN	Malate dehydrogenase, mitochondrial	1	1	26512.1	10507.6
P46783_HUMAN	RS10_HUMAN	RPS10_HUMAN	Small ribosomal subunit protein eS10	1	1	28705.4	12889.1
P46821_HUMAN	MAP1B_HUMAN	MAP1B_HUMAN	Microtubule-associated protein 1B	2	2		7901.16
P48735_HUMAN	IDHP_HUMAN	IDH2_HUMAN	Isocitrate dehydrogenase [NADP], mitochondrial	2	2	18945	13585.6
P49721_HUMAN	PSB2_HUMAN	PSMB2_HUMAN	Proteasome subunit beta type-2	1	1	11205.6	4850.42
P50395_HUMAN	GDIB_HUMAN	GDI2_HUMAN	Rab GDP dissociation inhibitor beta	1	1	13694.4	9336.36
P50914_HUMAN	RL14_HUMAN	RPL14_HUMAN	Large ribosomal subunit protein eL14	1	1	10530.1	
P52209_HUMAN	6PGD_HUMAN	PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating	2	2	9434.58	5668.67
P53634_HUMAN	CATC_HUMAN	CTSC_HUMAN	Dipeptidyl peptidase 1	2	2	3913.3	2548.62
P53675_HUMAN;Q00610_HUMAN	CLH1_HUMAN;CLH2_HUMAN	CLTCL1_HUMAN;CLTC_HUMAN	Clathrin heavy chain 2	1	0	14638.1	6371.11
P60174_HUMAN	TPIS_HUMAN	TPI1_HUMAN	Triosephosphate isomerase	1	1	9527.71	4104.44
P60709_HUMAN;P63261_HUMAN	ACTB_HUMAN;ACTG_HUMAN	ACTB_HUMAN;ACTG1_HUMAN	Actin, cytoplasmic 1	6	0	160244	65244.3
P61026_HUMAN	RAB10_HUMAN	RAB10_HUMAN	Ras-related protein Rab-10	1	1	20514.9	12914.1
P61158_HUMAN;Q9C0K3_HUMAN;Q9P1U1_HUMAN	ARP3B_HUMAN;ARP3C_HUMAN;ARP3_HUMAN	ACTR3B_HUMAN;ACTR3C_HUMAN;ACTR3_HUMAN	Actin-related protein 3	1	0	44073.1	9489.96
P61225_HUMAN	RAP2B_HUMAN	RAP2B_HUMAN	Ras-related protein Rap-2b	1	1	11543.5	4593.04
P61769_HUMAN	B2MG_HUMAN	B2M_HUMAN	Beta-2-microglobulin	1	1	4587.82	14820.5
P61978_HUMAN	HNRPK_HUMAN	HNRNPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K	1	1	17167.5	2173.39
P62081_HUMAN	RS7_HUMAN	RPS7_HUMAN	Small ribosomal subunit protein eS7	2	2	16663.1	6345.21
P62273_HUMAN	RS29_HUMAN	RPS29_HUMAN	Small ribosomal subunit protein uS14	1	1		15453.4
P62805_HUMAN	H4_HUMAN	H4C1_HUMAN	Histone H4	4	4	100483	27513.1
P62847_HUMAN	RS24_HUMAN	RPS24_HUMAN	Small ribosomal subunit protein eS24	1	1	19006.9	5551.83
P62857_HUMAN	RS28_HUMAN	RPS28_HUMAN	Small ribosomal subunit protein eS28	1	1	11049.1	
P62891_HUMAN	RL39_HUMAN	RPL39_HUMAN	Large ribosomal subunit protein eL39	2	2	104088	
P62937_HUMAN	PPIA_HUMAN	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A	1	1	31284.1	15841.6
P63104_HUMAN	1433Z_HUMAN	YWHAZ_HUMAN	14-3-3 protein zeta/delta	2	1	46046.1	12796.7
P63173_HUMAN	RL38_HUMAN	RPL38_HUMAN	Large ribosomal subunit protein eL38	1	1	61474.7	
P63241_HUMAN;Q6IS14_HUMAN;Q9GZV4_HUMAN	IF5A1_HUMAN;IF5A2_HUMAN;IF5AL_HUMAN	EIF5A2_HUMAN;EIF5AL1_HUMAN;EIF5A_HUMAN	Eukaryotic translation initiation factor 5A-1	1	0	14980.3	
P68104_HUMAN;Q5VTE0_HUMAN	EF1A1_HUMAN;EF1A3_HUMAN	EEF1A1P5_HUMAN;EEF1A1_HUMAN	Elongation factor 1-alpha 1	5	0	58665.5	21780.3
P68431_HUMAN;P84243_HUMAN;Q16695_HUMAN;Q5TEC6_HUMAN;Q6NXT2_HUMAN;Q71DI3_HUMAN	H31T_HUMAN;H31_HUMAN;H32_HUMAN;H33_HUMAN;H37_HUMAN;H3C_HUMAN	H3-3A_HUMAN;H3-4_HUMAN;H3-5_HUMAN;H3-7_HUMAN;H3C15_HUMAN;H3C1_HUMAN	Histone H3.1	1	0	31935.6	18841.7
P69905_HUMAN	HBA_HUMAN	HBA1_HUMAN	Hemoglobin subunit alpha	1	1	17502.6	
P81605_HUMAN	DCD_HUMAN	DCD_HUMAN	Dermcidin	4	4	747781	19374.1
P83881_HUMAN;Q969Q0_HUMAN	RL36A_HUMAN;RL36L_HUMAN	RPL36AL_HUMAN;RPL36A_HUMAN	Large ribosomal subunit protein eL42	2	0	63536	17550
Q00403_HUMAN	TF2B_HUMAN	GTF2B_HUMAN	Transcription initiation factor IIB	1	1	9856.44	5236.8
Q02978_HUMAN	M2OM_HUMAN	SLC25A11_HUMAN	Mitochondrial 2-oxoglutarate/malate carrier protein	1	1	14510.4	11154.1
Q08211_HUMAN	DHX9_HUMAN	DHX9_HUMAN	ATP-dependent RNA helicase A	1	1	4265.31	2070
Q14194_HUMAN	DPYL1_HUMAN	CRMP1_HUMAN	Dihydropyrimidinase-related protein 1	1	1		6533.28
Q14195_HUMAN	DPYL3_HUMAN	DPYSL3_HUMAN	Dihydropyrimidinase-related protein 3	1	1	30279.3	5378.29
Q15828_HUMAN	CYTM_HUMAN	CST6_HUMAN	Cystatin-M	1	1	112106	
Q16555_HUMAN	DPYL2_HUMAN	DPYSL2_HUMAN	Dihydropyrimidinase-related protein 2	1	1	8206.47	
Q16778_HUMAN	H2B2E_HUMAN	H2BC21_HUMAN	Histone H2B type 2-E	1	0	52770.7	
Q16799_HUMAN	RTN1_HUMAN	RTN1_HUMAN	Reticulon-1	1	1	8858.95	
Q53RT3_HUMAN	APRV1_HUMAN	ASPRV1_HUMAN	Retroviral-like aspartic protease 1	1	1	13000.3	
Q5QNW6_HUMAN;Q93079_HUMAN	H2B1H_HUMAN;H2B2F_HUMAN	H2BC18_HUMAN;H2BC9_HUMAN	Histone H2B type 2-F	4	0	134244	40208.1
Q6E0U4_HUMAN	DMKN_HUMAN	DMKN_HUMAN	Dermokine	1	1	21593.9	
Q7Z4G1_HUMAN	COMD6_HUMAN	COMMD6_HUMAN	COMM domain-containing protein 6	1	1	198718	72733.4
Q86VP6_HUMAN	CAND1_HUMAN	CAND1_HUMAN	Cullin-associated NEDD8-dissociated protein 1	1	1	5440.96	2385.98
Q8N4H5_HUMAN	TOM5_HUMAN	TOMM5_HUMAN	Mitochondrial import receptor subunit TOM5 homolog	1	1	118584	4808.44
Q8WX93_HUMAN	PALLD_HUMAN	PALLD_HUMAN	Palladin	1	1		3347.22
Q96DA0_HUMAN	PAUF_HUMAN	ZG16B_HUMAN	Pancreatic adenocarcinoma up-regulated factor	1	1	52186.5	22624.1
Q9BVA1_HUMAN	TBB2B_HUMAN	TUBB2B_HUMAN	Tubulin beta-2B chain	5	1	59287.6	24658.2
Q9BWD1_HUMAN	THIC_HUMAN	ACAT2_HUMAN	Acetyl-CoA acetyltransferase, cytosolic	1	1	8690.55	
Q9H853_HUMAN	TBA4B_HUMAN	TUBA4B_HUMAN	Tubulin-like protein alpha-4B	1	1	62138.3	28744.8
Q9NQC3_HUMAN	RTN4_HUMAN	RTN4_HUMAN	Reticulon-4	1	1	3338.12	3248.37
Q9Y2R4_HUMAN	DDX52_HUMAN	DDX52_HUMAN	Probable ATP-dependent RNA helicase DDX52	1	1		5572.38
Q9Y6K5_HUMAN	OAS3_HUMAN	OAS3_HUMAN	2'-5'-oligoadenylate synthase 3	1	1	8538.98	13181.1
