Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
UCHL5	3	3	103014	62924.3
UCK2	2	1		33117.2
UCKL1	2	2	158671	144531
UEVLD	3	3		35696.6
UNC119	1	1		30244.2
UPF1	1	1	46634.3	75590.9
UPP1	1	1		31599
UQCR10	4	4	41502.5	34401
UQCRFS1;UQCRFS1P1	2	0		62207.5
UQCRH;UQCRHL	2	0	31514.8	19861.8
UQCRQ	1	1		6141.64
URB1	3	3	58385	57855.2
URB2	1	1		17896.2
USP1	2	2		53260.7
USP15	1	1	46322.2	35865.1
USP22	2	1	163768	204304
USP25	1	1		40501.2
USP33	2	2	378940	523000
USP39	1	1		13403
USP4	1	1	21069.3	
USP47	2	2		30015.6
USP48	1	1		128410
USP8	1	1	51080.6	27944.9
USP9X	1	1	274405	355660
UTP15	4	4	174423	25911.1
UTP20	1	1		17798
UTP25	1	1		20486.7
UTP4	1	1		44731.9
UXT	1	1		22081.1
VAPA	2	2		68758.1
VAPB	1	1	8065.66	9257.24
VAT1	1	1	90478.5	
VIM	7	5	267190	144071
VIRMA	2	2		110801
VKORC1L1	1	1		10295
VMP1	1	1		51712.2
VPS29	1	1		20930.4
VPS33A	2	2	49074.7	8393.01
VPS35	3	3		55407.2
VPS35L	1	1		23027
VPS51	1	1	333389	249393
VPS53	1	1	84896.4	
VWA5A	1	1	88706.7	51508.7
VWA8	1	1	123547	322049
WASF2	1	1		19318.5
WASH2P;WASH3P;WASHC1	1	0		9178.9
WASHC4	3	3		260867
WDFY3	1	1		34619.9
WDR12	2	2	33662.2	4879.24
WDR20	1	1		19420.7
WDR3	2	2		19037.9
WDR35	1	1		76999.9
WDR36	1	1	180817	308268
WDR45B	1	1		13733.8
WDR54	2	2	20096	20279.9
WDR70	1	1		12288.2
WDR75	5	5		79674.4
WDR81	1	1		29476.3
WDR82	2	2	35816.5	58476.8
WLS	1	1		35670.4
WNK1;WNK2;WNK3;WNK4	1	0		29639.3
XPO1	3	3	208698	220151
XPO7	1	1		4292.8
XRCC1	1	1		8604.23
XRCC5	2	2	35138.8	75227.6
YEATS4	1	1		20029.4
YIPF5	1	1	674254	1.03917e+06
YME1L1	2	2	37175.6	30299.3
YTHDC1	1	1	63675.9	114278
YTHDF2	1	1		9455.13
YWHAH	1	1		11913.9
YWHAQ	2	1		22701.3
YWHAZ	1	1	10845.8	
YY1;YY2;ZFP42	1	0		90227.3
ZBED5	1	1	755833	588263
ZBTB12	1	1	396388	629945
ZBTB33	1	1	73653.8	18682.7
ZBTB38	4	4		58879.8
ZC3H14	1	1		14199.3
ZC3H15	2	2	50263.1	61208.3
ZC3H7B	1	1		8620.97
ZC3HAV1	2	2		75801
ZCCHC3	1	1		26124.1
ZDHHC24	1	1		286800
ZFAND1	1	1		19828.4
ZFX;ZFY	1	0	115446	132581
ZFYVE16	1	1		79089.2
ZG16B	1	1	68238.5	23573.8
ZKSCAN3	1	1		10686.7
ZMAT2	1	1	213906	505715
ZMIZ2	1	1		93794.8
ZNF12	1	1		33553.2
ZNF131	1	1		32715.2
ZNF227;ZNF235	1	0		50620.2
ZNF274	1	1		79296.4
ZNF280A;ZNF280B;ZNF280D	1	0		13737.6
ZNF281	1	1		21327.9
ZNF394	1	1	43780.6	69762.9
ZNF503	1	1		20454.5
ZNF532	1	1		12237.5
ZNF564	1	1		20815.4
ZNF587B	1	1		107424
ZNF598	1	1		85083
ZNF622	1	1		48445.4
ZNF695	1	1		19151.6
ZNF766	2	2	89095	108668
ZNF791	2	1	82324.4	72210.7
ZNF891	1	1		15781.6
ZNFX1	2	2		23437.3
ZSCAN32	1	1		11895.3
ZSWIM3	1	1		16230.5
ZW10	1	1		1.07864e+06
ZWINT	2	2	16954.2	17190.4
ZXDA;ZXDB;ZXDC	1	0		23497.8
ZYG11A	2	2	61852.9	33279.8
ZZEF1	2	2	115791	404080
cysK	1	1		17866
hly	2	2	226911	237312
inlB	1	1		34150.4
plcB	2	2		33456.3
prpL	4	4		145838
prs	1	1		7732.15
rplF	1	1		14648.8
rplV	1	1		14925.5
rplW	2	2	25359.4	26352.7
rpoD	1	1		17634.8
tuf	1	1	24614.8	19706.4
