Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
DHX9	5	5	44406.6	58642.7
DIP2B	2	2	83224.7	67188.6
DIRAS1;DIRAS2;RAB5A;RAB5B;RAB5C	1	0		41817.1
DIS3	1	1		39475.1
DIS3L	2	2		66352.5
DLGAP5	1	1	31693.3	20840.3
DMBT1	1	1	75978.7	
DMKN	24	24	144422	
DMXL1	1	1		11076.5
DNAAF10	1	1		17061.4
DNAJA1	1	1		269608
DNAJB1	2	2	16362.4	15190.8
DNAJC10	2	2	45848.8	131828
DNAJC11	1	1	117905	59023.4
DNAJC19	1	1		26647.3
DNAJC7	1	1		17927.7
DNAJC9	1	1		136246
DNM2	1	1		15592.2
DNMT1	3	3	42144.5	50356.6
DNMT3A	1	1	77210.4	175244
DOCK1	2	1		15393.1
DOCK10	1	1		13437.1
DOCK9	1	1		18339.3
DPH1	1	1		164954
DPM1	2	2	13707.4	8705.87
DPM2	1	1		33360.6
DPP9	1	1		18700.7
DPY19L1	1	1		48749
DPYSL2	2	2	20642	21955.9
DPYSL3	1	1		12732
DRG1	1	1		18999.4
DRG2	1	1		12409
DROSHA	2	2	71708.2	73754.6
DSC1	13	13	287110	
DSC3	7	7	94394	
DSE	1	1	152088	
DSG1	24	24	302614	
DSP	35	35	281581	300097
DST	2	2		98447.1
DSTYK	1	1		18321.4
DTX3	1	1		20446.9
DTX3L	1	1		20516.2
DUSP1	1	1		8922.09
DUSP11	1	1	38360.4	78768.6
DUSP14	1	1		38561.9
DUSP4	1	1		65860
DYNC1H1	8	8	720146	893937
DYNC2H1	2	2	34830.5	32325.6
DYNLL1;DYNLL2	3	0	134842	78076.6
DYNLT1	2	2	145685	269394
DYRK1A;DYRK1B	1	0		11077.2
E2F2	1	1		11731.5
E4F1	1	1	39342.1	103470
EAPP	1	1		330879
ECHDC1	1	1		16017.9
ECI1	1	1	434230	360409
EDF1	1	1	205566	324472
EEF1A1;EEF1A1P5	14	0	35500	17887.5
EEF1AKMT4;EEF1AKMT4-ECE2	1	0		45367
EEF1G	5	5	52973.6	41916.4
EEF2	7	7	200351	192968
EFTUD2	4	4	323093	305986
EHD2	2	1		84021.5
EHD4	2	1		34214
EIF1AX;EIF1AY	1	0	161494	194648
EIF2AK1	1	1	75708.2	180530
EIF2B4	1	1		23791.2
EIF2S3;EIF2S3B	1	0		16339.7
EIF3B	1	1		30241.8
EIF3E	1	1		35430.3
EIF3F	1	1		7357.79
EIF3G	1	1		4148.32
EIF3H	1	1	118292	121163
EIF3K	2	2	22443.1	19856.1
EIF3M	2	2		34000.2
EIF4A2	1	1		70076.9
EIF4B	1	1		49351.9
EIF4G1	2	2	25540.1	26094
EIF5A;EIF5A2;EIF5AL1	2	0	15315.6	7064.36
