Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
CLIC1	1	1		18963.7
CLN6	1	1		38981.3
CLP1	1	1	27862	27080.3
CLPTM1	2	2	103064	122340
CLTC	3	3	120808	128585
CLTCL1	2	2		64351.4
CLU	3	3	43604	419176
CLUH	1	1		24001.2
CMBL	2	2	44755	17572.2
CNBP	1	1		8479.32
CNN3	1	1		15936.1
CNOT11	1	1		5621.48
CNPPD1	1	1		16744.3
COASY	1	1	153016	41649.1
COCH	1	1		29122.1
COG1	1	1		14976.3
COG2	1	1		5875.67
COG4	1	1		24562.5
COL14A1	1	1		38193
COL1A2	3	3	138271	
COMMD2	1	1		8496.91
COMMD9	1	1		57986.3
COP1	1	1		7518.19
COPA	2	2		16166.1
COPB1	2	2		53232.4
COPB2	2	2		23391.1
COPG1	1	1	38904	185263
COPS5	1	1		421420
COPS6	1	1		41349.4
COPS7B	1	1	39500.5	25080.5
COQ5	1	1	271958	306403
COQ9	1	1		28941.2
COX5A	3	3	136225	208888
COX5B	1	1	72111.5	10258.6
COX6C	2	2		121354
COX7C	4	4	708745	53596.8
CPAP	1	1		49473.8
CPNE7	1	1		48158.8
CPSF1	2	2		19988.2
CPT1A	2	2	108980	164504
CRBN	1	1		9865.05
CREBRF	1	1		47305.1
CRISP3	2	2	136537	
CRLF1	1	1		7262.79
CRMP1	1	1		10572
CRYZ	1	1		13506.3
CSDE1	3	3	73842.8	73606.5
CSN1S1	15	15	402165	245758
CSN1S2	4	4	27046.4	11482.9
CSN2	15	15	431917	236598
CSN3	2	2	106774	
CSNK1D	1	1		31079.7
CSNK1E	1	1		37137.6
CST6	2	2	38051	
CSTA	5	5	166664	
CSTB	1	1		14592.8
CSTF1	1	1		70320.4
CSTPP1	1	1	39648	29676.2
CTDNEP1	1	1	262654	630151
CTNNA1	3	3		39895.3
CTSA	4	4		138794
CTSB	2	2	194786	
CTSC	2	2	5959.94	3049.24
CTSD	1	1	15799.5	
CTSZ	1	1	341965	433974
CTTNBP2NL	2	2		43920.9
CUEDC1	1	1		28195.9
CWC22	1	1	47777.2	68214.4
CXCR4	3	3	66058.4	81514.1
CYBA	1	1		43332.5
CYFIP2	1	1		31761.2
CYLD	1	1		5079.22
CYP24A1	1	1		24969.5
CYP51A1	1	1		61799.7
DAAM1	1	1		45753.5
DAD1	1	1	50140.5	
DAP3	4	4	1.29117e+06	453217
DAPK3	1	1		20904.2
DAZAP2	1	1	93387.4	250196
DCAF1	1	1	110554	110674
DCAF12	1	1		10845.8
DCAF15	2	2		35467.6
DCAF7	1	1		10672.7
DCAKD	1	1		107992
DCD	59	59	2.07692e+06	49629.5
DCTN3	2	2	1.03452e+06	1.81628e+06
DCUN1D2	1	1		175266
DCX	1	1	59198.5	28124.7
DCXR	1	1	236869	136741
DDB1	5	5	324293	588704
DDIAS	2	2	20361.9	11760.5
DDIT4	1	1		91110.9
DDX1	2	2		12092.5
DDX20	1	1		20914.1
DDX21	2	2	85554.1	144324
DDX42	1	1		35598.4
DDX47	2	2		152653
DDX50	2	2		57029.8
DDX52	2	2		28075.5
DDX60	1	1		115584
DEGS1	2	2	405848	422344
DENND6A	1	1		10553.1
DEPDC1B	1	1		44431.1
DEPDC7	2	2	8744.93	9586.07
DGKD	3	3	170680	267018
DGKH	1	1		14730
DHPS	1	1	61205.8	
DHRS1	1	1		27436.5
DHX32	1	1		33767.5
DHX33	1	1	46442.7	49351.8
DHX37	2	2	190249	333665
DHX38	1	1		11579.5
DHX57	1	1		74818.1
DHX9	6	6	45619	59666
DIAPH3	1	1		358017
DIP2B	2	2	79959.6	68553.6
DIS3	1	1		43903.1
DIS3L	2	2		67510.3
DLGAP5	1	1	30881.7	20859.1
DMBT1	1	1	67221.3	
DMKN	23	23	176425	
DMRTA2	1	1		17973.3
DMXL1	1	1		11269.8
DNAAF10	1	1		17374.7
DNAJA1	1	1		274312
DNAJB1	2	2	15361.4	15564.3
DNAJC10	2	2	70528.1	132686
DNAJC11	1	1	110853	58731.9
DNAJC15	1	1		14144.6
DNAJC19	1	1		30926
DNAJC7	1	1		18240.5
DNAJC9	1	1		138623
DNM2	1	1		16008
DNMT1	3	3	45245.9	51492.5
DNMT3A	1	1	81380.5	178302
DOCK1	1	1		13581.3
DOCK9	2	2		28486.5
DPH1	1	1		167832
DPM1	2	2	5049.47	5475.16
DPM2	1	1		33942.7
DPP8	1	1		7282.34
DPP9	1	1		19027.1
DPY19L1	1	1		49599.6
DPYSL2	2	2	20148	23487.3
DPYSL3	1	1		16016.4
DRG2	1	1		12662.1
DROSHA	2	2	70290.6	77805.4
DSC1	16	16	265038	
DSC3	9	9	92528	
DSE	1	1	146752	
DSG1	22	22	296068	
DSP	31	31	260943	251743
DST	2	2		94018.1
DSTYK	1	1		18837.8
DTX3L	1	1		20874.2
DUSP1	2	2		18025.5
DUSP10	1	1		11377
DUSP11	1	1	40564.5	80604.3
DUSP14	1	1	39232.2	35633.3
DUSP4	1	1		67009.2
DYNC1H1	8	8	614849	879120
DYNC2H1	2	2	34330	33235.5
DYNLT1	2	2	155363	275070
E2F2	1	1		11936.3
E2F3	1	1		17977.8
E4F1	1	1		130459
EBPL	1	1		8410.04
ECH1	1	1		17614.6
ECHDC1	1	1		16297.4
ECI1	1	1	438723	371259
ECT2	1	1		46218.6
EDF1	1	1	218932	330134
EEF1G	5	5	56560.5	42082.6
EEF2	8	8	3.35673e+06	3.50214e+06
EEF2K	1	1		11664.5
EEIG2	1	1		6445.4
EFTUD2	4	4	374395	319338
EHD2	1	1		85487.6
EHD4	1	1		22557.3
EIF2AK1	1	1	76646.1	183680
EIF3B	1	1		30769.5
EIF3E	1	1		36048.5
EIF3F	1	1		7522.76
EIF3G	1	1		4220.71
EIF3H	1	1	121595	123277
EIF3K	2	2	18883.1	20202.6
EIF3M	2	2		34593.4
EIF4A1	1	1		71299.7
EIF4B	1	1		50213
EIF4G1	2	2	24289.2	26549.3
EIF5B	1	1	75198.9	5801.22
ELAPOR2	1	1	519863	134928
ELF3	1	1		8751.07
ELOVL1	2	2	64236.6	12472.7
ELOVL5	1	1	157125	394822
EMC1	3	3		61048.7
EMC10	1	1	42879.6	19555.8
EMC3	2	2	598208	482155
ENDOD1	1	1	19965.1	20910.1
ENO1	12	12	138859	88388.2
ENO2	1	1		5724.09
ENTR1	1	1		3736.58
EPB41L4A	2	2		14352.3
EPC2	1	1		54893.7
EPHA7	1	1		46573.4
EPHX1	2	2	283239	511059
EPM2AIP1	1	1		72854.8
EPPK1	1	1		22371
EPS8	1	1	40931.8	76716.3
ERGIC3	3	3	178781	293314
ERLIN1	1	1		25699.9
ERP44	1	1	17173.9	16193.2
ESRP2	1	1		10827.5
ETAA1	1	1	21429.7	20439.5
ETNK1	1	1	60889.3	61061.1
ETS2	1	1		24406.1
EURL	1	1		10216.6
EXOC3	1	1		15710.1
EXOC5	1	1		40053.4
EXOSC5	1	1		12860.1
EXT2	1	1		26799.6
F8A1	1	1	153014	47693.4
FABP5	2	2	112334	
FADS2	2	2		83471.2
FAM111B	1	1	48522.7	118802
FAM120B	2	2	199338	387754
FAM149B1	1	1		14967.8
FAM210A	1	1		37383.9
FAM83H	2	2	55774.8	145617
FAM8A1	1	1		34756
FANCC	1	1		38402.5
FANCD2	1	1		6846.54
FAR1	1	1		86079
FARSA	2	2	89030.5	93874.9
FARSB	2	2		22113
FASN	4	4	101893	109693
FASTKD3	1	1	344002	286008
FAT1	2	2		32551.6
FAU	3	3	21232.9	15873.2
FBH1	3	3		126424
FBN1	1	1		20343.9
FBXO22	3	3	24651.5	22451.3
FBXO7	1	1	124669	248410
FDFT1	2	2		140214
FERMT2	1	1		21487.7
FHIP2A	1	1	43913.4	8776.4
FHL2	1	1		25503.9
FHOD1	2	2		61540.3
FIGNL1	1	1	57977.9	58287.3
FIRRM	2	2		44226.4
FKBP10	2	2		41782.2
FKBP9	1	1		197430
FLCN	1	1	43816	84213.2
FLG	13	13	262893	
FLG2	8	8	98869.3	
FLII	1	1	409170	352779
FLNA	1	1	49792.8	63631.9
FLNB	2	2		547299
FLOT1	1	1		29386.3
FLYWCH1	1	1		10014.6
FNDC3A	1	1		36968.3
FNDC3B	1	1	98087.9	68191.4
FNIP2	1	1		74361.3
FOSL1	1	1		11743.4
FPGS	2	2		24136.2
FRAS1	2	2	35732.3	31719.2
FRMD6	1	1		67217.2
FSAF1	1	1		15659.7
FSCN1	1	1	46345.7	111361
FUCA2	1	1		10742.5
FUOM	1	1	96796.2	171335
FXR1	1	1	215745	251502
G2E3	1	1	788591	551712
G6PD	2	2	16756.7	7341.8
GAB1	1	1	44364.5	53702.4
GABARAPL1	1	1		11820
GAD1	1	1		26991.1
GAK	1	1		31032.6
GALK2	1	1	93575	186124
GALNT10	1	1	19022.4	18513.9
GALNT7	1	1		6625.73
GANAB	1	1		30945.8
GAPDH	35	35	331332	58107.5
GAREM1	1	1		22942.7
GARS1	1	1	328435	456537
GART	2	2		52013.1
GATC	1	1		17076.8
GBA2	1	1		80558.3
GBF1	1	1		45188.1
GCN1	2	2	91988.7	78508.8
GDA	1	1		3998.57
GDI2	1	1	18827.2	9661.24
GEMIN4	2	2		113985
GFPT2	1	1		12476
GFUS	1	1	74524.9	72927.2
GGA2	1	1		11848.7
GHITM	1	1		58517.9
GID4	1	1		11840.2
GIN1	1	1	465504	744427
GIPC1	5	5		37945.2
GLB1	1	1		77010.3
GLE1	2	2	849947	1.86242e+06
GLIPR1	1	1		10580.5
GLRB	1	1		41812.9
GLT8D2	1	1	86114.2	161574
GLYR1	1	1		76846.6
GMDS	1	1		3888.81
GMNN	1	1		32851.5
GNAS	3	3	184808	452806
GNL2	3	3	601032	612228
GNL3	1	1		49203.8
GNL3L	1	1	300500	894567
GOLM1	1	1	22778.6	
GOPC	1	1		60577.2
GPAA1	1	1		19431.6
GPATCH8	1	1		14136.8
GPN2	1	1		17270.9
GPR180	1	1		27469.8
GPS1	1	1	61934.4	54455.6
GPS2	1	1		9392.67
GPX3	1	1		33305.9
GPX8	1	1	164447	16508
GRAMD2B	1	1	172135	115472
GRIPAP1	1	1	464019	29505.7
GRTP1	1	1		36165.4
GRWD1	4	4	55017.6	31047.5
GSDMA	2	2	35151	
GSE1	1	1		39978.4
GSN	1	1	29386.1	
GSTP1	2	2	269253	
GTF2B	3	3	21408.9	28774.3
GTF2I	3	3	107102	129750
GTF2IRD1	1	1		21429.6
GTF3C1	3	3	128955	116050
GTF3C2	1	1		36161.6
GTPBP2	1	1		16428.8
GTPBP6	2	2		13263.2
GYS1	1	1	38733.9	11025.1
H4C1	6	6	94990.1	44653.8
HAL	1	1	22003.1	
HARS1	1	1		6060.6
HARS2	1	1		8369.56
