Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
O15131	IMA6_HUMAN	KPNA5	Importin subunit alpha-6	1	1		9521.28
O15217	GSTA4_HUMAN	GSTA4	Glutathione S-transferase A4	1	1		66152.7
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	2	2	199997	232848
O15243	OBRG_HUMAN	LEPROT	Leptin receptor gene-related protein	1	1	124547	36994.9
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	2	2	223144	334816
O15375	MOT6_HUMAN	SLC16A5	Monocarboxylate transporter 6	1	1		45868.4
O15397	IPO8_HUMAN	IPO8	Importin-8	1	1		56702.3
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	2	2	16476	18732.5
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	3	3	242659	228263
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1	1		4577.52
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	1	1	310570	356207
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1	1		26211.3
O43306	ADCY6_HUMAN	ADCY6	Adenylate cyclase type 6	1	1		124900
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	1	1		28905.8
O43474	KLF4_HUMAN	KLF4	Krueppel-like factor 4	1	1	119169	241098
O43572	AKA10_HUMAN	AKAP10	A-kinase anchor protein 10, mitochondrial	1	1	149155	172542
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1	1	149329	
O43865;Q96HN2	SAHH2_HUMAN;SAHH3_HUMAN	AHCYL1;AHCYL2	S-adenosylhomocysteine hydrolase-like protein 1	1	0		240570
O43913	ORC5_HUMAN	ORC5	Origin recognition complex subunit 5	1	1	908130	698670
O60244	MED14_HUMAN	MED14	Mediator of RNA polymerase II transcription subunit 14	1	1	129515	241842
O60281	ZN292_HUMAN	ZNF292	Zinc finger protein 292	1	1	147136	329192
O60287	NPA1P_HUMAN	URB1	Nucleolar pre-ribosomal-associated protein 1	2	2	109225	225918
O60294	TYW4_HUMAN	LCMT2	tRNA wybutosine-synthesizing protein 4	1	1	109286	109010
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	1	1		25842.6
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	2	2	882534	1.41472e+06
O60337	MARH6_HUMAN	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	2	2	2.06932e+06	2.20889e+06
O60353	FZD6_HUMAN	FZD6	Frizzled-6	1	1		43384.7
O60443	GSDME_HUMAN	GSDME	Gasdermin-E	1	1		12298.5
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	1	1		28236.4
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	1	1	63857.7	
O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	1	1		17228.1
O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	2	2		83149.7
O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	2	2	18216.4	17914.4
O75030	MITF_HUMAN	MITF	Microphthalmia-associated transcription factor	1	1		137189
O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	1	1		11474.3
O75123	ZN623_HUMAN	ZNF623	Zinc finger protein 623	1	1	14507.4	14573.6
O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	1	1	43249.3	50599.6
O75179;Q8IWZ3	ANKH1_HUMAN;ANR17_HUMAN	ANKHD1;ANKRD17	Ankyrin repeat domain-containing protein 17	1	0	212445	
O75197	LRP5_HUMAN	LRP5	Low-density lipoprotein receptor-related protein 5	1	1	103105	102133
O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	1	1		40753.4
O75367;P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1	H2A1A_HUMAN;H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2B_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN;H2AX_HUMAN;H2AY_HUMAN	H2AC1;H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC21;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ;H2AX;MACROH2A1	Core histone macro-H2A.1	1	0	431094	373255
O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	2	2	104025	719059
O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	2	2	73848.3	324106
O75564	JERKY_HUMAN	JRK	Jerky protein homolog	1	1	388956	719036
O75581	LRP6_HUMAN	LRP6	Low-density lipoprotein receptor-related protein 6	2	1	202977	222574
O75582;O75676	KS6A4_HUMAN;KS6A5_HUMAN	RPS6KA4;RPS6KA5	Ribosomal protein S6 kinase alpha-5	1	0		306458
O75592	MYCB2_HUMAN	MYCBP2	E3 ubiquitin-protein ligase MYCBP2	2	2	65393.4	35918.1
O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	1	1	79328.7	95873.1
O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	1	1	16358.3	21696.1
O75746;Q9UJS0	S2512_HUMAN;S2513_HUMAN	SLC25A12;SLC25A13	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial	1	0	84871.9	90979.2
O75787	RENR_HUMAN	ATP6AP2	Renin receptor	1	1	26794.4	22292.8
O75928	PIAS2_HUMAN	PIAS2	E3 SUMO-protein ligase PIAS2	1	1		23846.4
O75952	CABYR_HUMAN	CABYR	Calcium-binding tyrosine phosphorylation-regulated protein	1	1		274248
O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	1	1		6696.9
O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	1	1		44143.2
O94766	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	1	1		11385.9
O94768	ST17B_HUMAN	STK17B	Serine/threonine-protein kinase 17B	2	2	37201.8	42349
O94822	LTN1_HUMAN	LTN1	E3 ubiquitin-protein ligase listerin	1	1	52260.3	82974.2
O94880	PHF14_HUMAN	PHF14	PHD finger protein 14	1	1	25396	48701.5
O94886	TM63A_HUMAN	TMEM63A	Mechanosensitive cation channel TMEM63A	2	2		16674.2
O94889	KLH18_HUMAN	KLHL18	Kelch-like protein 18	1	1		150879
O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	1	1		40443.7
O94915	FRYL_HUMAN	FRYL	Protein furry homolog-like	1	1	66868.4	90578.8
O94916	NFAT5_HUMAN	NFAT5	Nuclear factor of activated T-cells 5	1	1	117292	22536.9
O94955	RHBT3_HUMAN	RHOBTB3	Rho-related BTB domain-containing protein 3	2	2	29808	37724.8
O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	1	1	31986.5	65207.8
O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B	1	1		17195.2
O95167	NDUA3_HUMAN	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	1	1	107688	171073
O95197	RTN3_HUMAN	RTN3	Reticulon-3	1	1		125321
O95208;Q9Y6I3	EPN1_HUMAN;EPN2_HUMAN	EPN1;EPN2	Epsin-2	1	0		8935.25
O95214	LERL1_HUMAN	LEPROTL1	Leptin receptor overlapping transcript-like 1	1	1	1.57224e+06	1.02285e+06
O95229	ZWINT_HUMAN	ZWINT	Outer kinetochore KNL1 complex subunit ZWINT	3	3		1.55288e+06
O95361;Q309B1	TR16L_HUMAN;TRI16_HUMAN	TRIM16;TRIM16L	Tripartite motif-containing protein 16	3	0	81182.1	103693
O95373	IPO7_HUMAN	IPO7	Importin-7	2	2	35787.6	27720
O95455	TGDS_HUMAN	TGDS	dTDP-D-glucose 4,6-dehydratase	1	1	79433.4	
O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A	1	1		30983
O95620	DUS4L_HUMAN	DUS4L	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	1	1		79380.2
O95819;Q8N4C8;Q9UKE5	M4K4_HUMAN;MINK1_HUMAN;TNIK_HUMAN	MAP4K4;MINK1;TNIK	Mitogen-activated protein kinase kinase kinase kinase 4	1	0		345558
O95835	LATS1_HUMAN	LATS1	Serine/threonine-protein kinase LATS1	1	1		15590.6
O95905	ECD_HUMAN	ECD	Protein ecdysoneless homolog	1	1		59593.4
O96033	MOC2A_HUMAN	MOCS2	Molybdopterin synthase sulfur carrier subunit	1	1		50152.6
P00488;P21980	F13A_HUMAN;TGM2_HUMAN	F13A1;TGM2	Coagulation factor XIII A chain	1	0		87311.2
P01889;P01893;P04439;P10321;P13747;P30511	HLAA_HUMAN;HLAB_HUMAN;HLAC_HUMAN;HLAE_HUMAN;HLAF_HUMAN;HLAH_HUMAN	HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-H	HLA class I histocompatibility antigen, B alpha chain	1	0		10469.3
P03891	NU2M_HUMAN	MT-ND2	NADH-ubiquinone oxidoreductase chain 2	1	1	54519.4	
P03901	NU4LM_HUMAN	MT-ND4L	NADH-ubiquinone oxidoreductase chain 4L	1	1	610036	851026
P03973	SLPI_HUMAN	SLPI	Antileukoproteinase	1	1	120807	248515
P04150	GCR_HUMAN	NR3C1	Glucocorticoid receptor	1	1		346754
P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	3	3	201066	106566
P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	2	2	434133	434101
P05023;P13637;P50993;P54707;Q13733	AT12A_HUMAN;AT1A1_HUMAN;AT1A2_HUMAN;AT1A3_HUMAN;AT1A4_HUMAN	ATP12A;ATP1A1;ATP1A2;ATP1A3;ATP1A4	Sodium/potassium-transporting ATPase subunit alpha-1	1	0	286594	107762
P05121	PAI1_HUMAN	SERPINE1	Plasminogen activator inhibitor 1	1	1		9980.69
P05386	RLA1_HUMAN	RPLP1	Large ribosomal subunit protein P1	1	1		46326.4
P05388;Q8NHW5	RLA0L_HUMAN;RLA0_HUMAN	RPLP0;RPLP0P6	Large ribosomal subunit protein uL10	1	0	88143.1	101838
P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	1	1	129750	
P06858	LIPL_HUMAN	LPL	Lipoprotein lipase	1	1		44243.9
P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	1	1		39859.4
P07355	ANXA2_HUMAN	ANXA2	Annexin A2	1	1		58627.6
P07711	CATL1_HUMAN	CTSL	Procathepsin L	1	1		189270
P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	1	1	405166	353762
P08048;P17010	ZFX_HUMAN;ZFY_HUMAN	ZFX;ZFY	Zinc finger Y-chromosomal protein	1	0	11117.7	37836.4
P08237	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	2	2	341273	653926
P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	1	1	39001.9	
P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	1	1	364093	571495
P08754;P63096	GNAI1_HUMAN;GNAI3_HUMAN	GNAI1;GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	1	0		50653.7
P08910	ABHD2_HUMAN	ABHD2	Monoacylglycerol lipase ABHD2	1	1	50832.4	76414.6
P09884	DPOLA_HUMAN	POLA1	DNA polymerase alpha catalytic subunit	1	1		78070.5
P09914	IFIT1_HUMAN	IFIT1	Antiviral innate immune response effector IFIT1	2	2		15524
P0C853	BAAS2_HUMAN	BAALC-AS2	Putative uncharacterized protein BAALC-AS2	1	1		474365
P0DMV8;P0DMV9;P34931	HS71A_HUMAN;HS71B_HUMAN;HS71L_HUMAN	HSPA1A;HSPA1B;HSPA1L	Heat shock 70 kDa protein 1A	3	0	427745	251986
P10114;P61225;Q9Y3L5	RAP2A_HUMAN;RAP2B_HUMAN;RAP2C_HUMAN	RAP2A;RAP2B;RAP2C	Ras-related protein Rap-2a	1	0		78682
P10589;P24468	COT1_HUMAN;COT2_HUMAN	NR2F1;NR2F2	COUP transcription factor 1	1	0	238326	171503
P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	2	2	821567	394152
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	1	1	380919	
P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	1	1		11500.1
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	1	1	130820	536820
P11926	DCOR_HUMAN	ODC1	Ornithine decarboxylase	2	2	22713.6	26063.4
P12074	CX6A1_HUMAN	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	1	1	735931	1.11533e+06
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	1	1		20341.9
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	1	1	149937	1.11773e+06
P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1	1	70751.5	19782.3
P13196;P22557	HEM0_HUMAN;HEM1_HUMAN	ALAS1;ALAS2	5-aminolevulinate synthase, non-specific, mitochondrial	1	0	140874	
P13639	EF2_HUMAN	EEF2	Elongation factor 2	2	2	91116.3	15642.7
P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	1	1	211726	215862
P13861;P31323	KAP2_HUMAN;KAP3_HUMAN	PRKAR2A;PRKAR2B	cAMP-dependent protein kinase type II-alpha regulatory subunit	1	0	18653.3	57191.9
P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	1	1	272481	264268
P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	1	1	71041.2	69092.3
P14672	GLUT4_HUMAN	SLC2A4	Solute carrier family 2, facilitated glucose transporter member 4	1	1		77974.1
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1	1		203492
P14923;P35222	CTNB1_HUMAN;PLAK_HUMAN	CTNNB1;JUP	Junction plakoglobin	2	0	1.57901e+06	2.7205e+06
P15036	ETS2_HUMAN	ETS2	Protein C-ets-2	1	1		45755.6
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	2	2	71718.1	72943.4
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	1	1		34064.8
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	1	1		25693.9
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	2	2	909914	1.04393e+06
P15923	TFE2_HUMAN	TCF3	Transcription factor E2-alpha	1	1	89500.1	27649.9
P15924	DESP_HUMAN	DSP	Desmoplakin	1	1		43677.5
P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	1	1	62578	
P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	1	1	1.4906e+06	1.32871e+06
P16070	CD44_HUMAN	CD44	CD44 antigen	1	1	280812	204423
P16871	IL7RA_HUMAN	IL7R	Interleukin-7 receptor subunit alpha	1	1	1.05488e+06	236530
P17097	ZNF7_HUMAN	ZNF7	Zinc finger protein 7	1	1		24197.7
P17181	INAR1_HUMAN	IFNAR1	Interferon alpha/beta receptor 1	1	1	96179.8	58448.3
P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	1	1		8990.63
P17612;P22694	KAPCA_HUMAN;KAPCB_HUMAN	PRKACA;PRKACB	cAMP-dependent protein kinase catalytic subunit alpha	1	0		38627.8
P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	1	1	642502	135622
P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	1	1	380556	
P20592	MX2_HUMAN	MX2	Interferon-induced GTP-binding protein Mx2	1	1		30075.5
P21333	FLNA_HUMAN	FLNA	Filamin-A	1	1	1.03508e+06	1.10318e+06
P21359	NF1_HUMAN	NF1	Neurofibromin	1	1		285256
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	1	1	23521.7	29504.7
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	1	1	74418.5	203804
P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	1	1	118636	153331
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	1	1	81501.9	62432
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	1	1	852865	1.1752e+06
P23468;Q13332	PTPRD_HUMAN;PTPRS_HUMAN	PTPRD;PTPRS	Receptor-type tyrosine-protein phosphatase delta	1	0	1.4691e+06	1.39108e+06
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase peripheral stalk subunit b, mitochondrial	1	1	41801.7	82637.8
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	1	1	389634	249545
P25106	ACKR3_HUMAN	ACKR3	Atypical chemokine receptor 3	1	1		134326
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	1	1		32000.6
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	1	1	21619.7	
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase F(1) complex subunit alpha, mitochondrial	1	0		49586.9
P25929	NPY1R_HUMAN	NPY1R	Neuropeptide Y receptor type 1	1	1		351085
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	1	1	62080.1	128889
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	2	1		395352
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	2	1	49240.6	51643.8
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1	1	127304	107947
P27708	PYR1_HUMAN	CAD	Multifunctional protein CAD	1	1	41633.8	33485.8
P27986;Q92569	P55G_HUMAN;P85A_HUMAN	PIK3R1;PIK3R3	Phosphatidylinositol 3-kinase regulatory subunit alpha	2	0		59220.5
P28324	ELK4_HUMAN	ELK4	ETS domain-containing protein Elk-4	1	1	29244.3	36454.8
P28562	DUS1_HUMAN	DUSP1	Dual specificity protein phosphatase 1	2	2	184952	391604
P29275	AA2BR_HUMAN	ADORA2B	Adenosine receptor A2b	1	1	1.09413e+06	569012
P29353;Q6S5L8	SHC1_HUMAN;SHC4_HUMAN	SHC1;SHC4	SHC-transforming protein 1	1	0	217670	197443
P29401	TKT_HUMAN	TKT	Transketolase	1	1		4042.76
P29992;P50148	GNA11_HUMAN;GNAQ_HUMAN	GNA11;GNAQ	Guanine nucleotide-binding protein subunit alpha-11	1	0	90901.3	
